longitude,latitude
-1.021629700000000085e+00,5.207607579999999814e+01
-1.021646300000000007e+00,5.207610259999999869e+01
-1.021661099999999989e+00,5.207612579999999980e+01
-1.021673000000000053e+00,5.207614819999999867e+01
-1.021682600000000107e+00,5.207616780000000034e+01
-1.021689599999999976e+00,5.207618819999999715e+01
-1.021697000000000077e+00,5.207621100000000069e+01
-1.021701900000000052e+00,5.207623980000000330e+01
-1.021705099999999922e+00,5.207626080000000002e+01
-1.021704100000000004e+00,5.207628559999999851e+01
-1.021701900000000052e+00,5.207630739999999747e+01
-1.021698299999999948e+00,5.207633150000000199e+01
-1.021690999999999905e+00,5.207636320000000296e+01
-1.021678099999999922e+00,5.207639609999999664e+01
-1.021663500000000058e+00,5.207643139999999704e+01
-1.021633299999999966e+00,5.207647630000000305e+01
-1.021604699999999921e+00,5.207651200000000102e+01
-1.021363000000000021e+00,5.207680419999999799e+01
-1.021084799999999904e+00,5.207715449999999890e+01
-1.020874800000000082e+00,5.207741730000000047e+01
-1.020778799999999986e+00,5.207753699999999952e+01
-1.020753599999999928e+00,5.207756619999999970e+01
-1.020725199999999999e+00,5.207759920000000164e+01
-1.020695300000000083e+00,5.207762850000000299e+01
-1.020666400000000085e+00,5.207765640000000218e+01
-1.020614099999999969e+00,5.207770610000000033e+01
-1.020564000000000027e+00,5.207774930000000069e+01
-1.020518100000000095e+00,5.207778350000000245e+01
-1.020444200000000023e+00,5.207783599999999780e+01
-1.020358499999999946e+00,5.207789559999999796e+01
-1.020271200000000045e+00,5.207795550000000162e+01
-1.020194700000000010e+00,5.207800749999999823e+01
-1.020119299999999951e+00,5.207805309999999821e+01
-1.019936299999999907e+00,5.207815459999999774e+01
-1.019736900000000057e+00,5.207825199999999910e+01
-1.019642500000000007e+00,5.207829499999999712e+01
-1.019561699999999904e+00,5.207833070000000220e+01
-1.019497000000000098e+00,5.207835899999999896e+01
-1.019347100000000061e+00,5.207841419999999744e+01
-1.019206899999999916e+00,5.207846090000000316e+01
-1.019106599999999974e+00,5.207848849999999885e+01
-1.019010500000000041e+00,5.207851229999999987e+01
-1.018882899999999925e+00,5.207853879999999691e+01
-1.018727299999999891e+00,5.207856600000000213e+01
-1.018603900000000007e+00,5.207858490000000273e+01
-1.018488199999999955e+00,5.207859870000000058e+01
-1.018358700000000061e+00,5.207861170000000328e+01
-1.018227200000000110e+00,5.207862349999999907e+01
-1.018058600000000036e+00,5.207863600000000304e+01
-1.017820900000000028e+00,5.207865319999999798e+01
-1.017196800000000012e+00,5.207869149999999792e+01
-1.015252700000000008e+00,5.207880519999999791e+01
-1.012720899999999924e+00,5.207893080000000197e+01
-1.012439700000000053e+00,5.207893750000000210e+01
-1.012361000000000066e+00,5.207893930000000182e+01
-1.012295299999999898e+00,5.207893839999999841e+01
-1.012223300000000048e+00,5.207893539999999888e+01
-1.012155600000000044e+00,5.207892770000000127e+01
-1.012044900000000025e+00,5.207890900000000300e+01
-1.011954800000000043e+00,5.207888779999999684e+01
-1.011866300000000107e+00,5.207886419999999816e+01
-1.011763900000000049e+00,5.207883300000000304e+01
-1.011649699999999985e+00,5.207878949999999918e+01
-1.011514699999999989e+00,5.207872369999999762e+01
-1.011425599999999925e+00,5.207867139999999750e+01
-1.011368899999999904e+00,5.207863189999999776e+01
-1.011314599999999952e+00,5.207858970000000198e+01
-1.011269200000000090e+00,5.207854729999999677e+01
-1.011225800000000064e+00,5.207850330000000127e+01
-1.011183299999999896e+00,5.207845220000000097e+01
-1.011106099999999897e+00,5.207833020000000346e+01
-1.011033599999999977e+00,5.207820379999999716e+01
-1.010974199999999934e+00,5.207810229999999763e+01
-1.010927300000000084e+00,5.207800459999999987e+01
-1.010860499999999940e+00,5.207786240000000078e+01
-1.010701599999999978e+00,5.207751559999999813e+01
-1.010594500000000062e+00,5.207724170000000186e+01
-1.010546500000000014e+00,5.207708939999999842e+01
-1.010481200000000079e+00,5.207688319999999749e+01
-1.010424800000000012e+00,5.207666569999999950e+01
-1.010401600000000011e+00,5.207654519999999820e+01
-1.010383400000000043e+00,5.207642400000000293e+01
-1.010358599999999996e+00,5.207624890000000306e+01
-1.010338500000000028e+00,5.207608170000000314e+01
-1.010312300000000052e+00,5.207583559999999778e+01
-1.010285799999999901e+00,5.207556149999999917e+01
-1.010255899999999984e+00,5.207515089999999702e+01
-1.010234700000000041e+00,5.207474340000000268e+01
-1.010227599999999892e+00,5.207463320000000095e+01
-1.010218800000000083e+00,5.207452949999999703e+01
-1.010210000000000052e+00,5.207447030000000154e+01
-1.010197800000000035e+00,5.207441180000000003e+01
-1.010179399999999950e+00,5.207435170000000113e+01
-1.010154199999999891e+00,5.207428230000000013e+01
