drs_event_id,run_id,start_time_s,end_time_s,start_distance_m,end_distance_m,entry_speed_mps,exit_speed_mps,circuit_id,setup_id,weather_id,tyre_id,session_id,car_id,date_id,comparison_group
185,93,0.767361885478,4.02402994417,60,320,78.5033671411,82.7014615204,3,7,3,2,3,1,20260917,setup_sweep
186,93,23.5588928847,27.8885593157,1370,1640,51.0966244491,72.5098742823,3,7,3,2,3,1,20260917,setup_sweep
187,94,0.777869946351,4.13512605704,60,340,81.4685886459,84.9577982821,3,8,1,2,1,1,20260917,setup_sweep
188,94,18.3389963261,22.2148169546,1370,1640,62.4557897562,76.4737230901,3,8,1,2,1,1,20260917,setup_sweep
189,95,0.720103448676,3.98843459165,60,340,83.5516368394,87.4135170804,3,8,2,2,1,1,20260917,setup_sweep
190,95,18.5562561624,22.5012385506,1370,1640,59.6529176752,76.4630758962,3,8,2,2,1,1,20260917,setup_sweep
191,96,0.750016494692,3.94586445962,60,320,80.2555170646,84.1238669584,3,8,3,2,3,1,20260917,setup_sweep
192,96,23.0532909572,27.3459960528,1370,1640,51.8213935208,73.0510333143,3,8,3,2,3,1,20260917,setup_sweep
193,97,0.753535190714,4.22087788374,60,340,79.7591011959,83.2295604074,3,9,1,2,1,1,20260917,setup_sweep
194,97,18.900094365,22.8635781286,1370,1640,60.436718877,75.1151673852,3,9,1,2,1,1,20260917,setup_sweep
195,98,0.733674250399,4.06419037816,60,340,81.9831955255,85.7636094254,3,9,2,2,1,1,20260917,setup_sweep
196,98,19.3915270368,23.4009084837,1370,1640,58.2678410607,75.4218179367,3,9,2,2,1,1,20260917,setup_sweep
197,99,0.792849985832,4.36909034146,60,340,76.168398776,81.5431282524,3,9,3,2,3,1,20260917,setup_sweep
198,99,23.9863579293,28.3222613675,1370,1640,51.1100521971,72.3028861498,3,9,3,2,3,1,20260917,setup_sweep
199,100,0.730356328095,4.05192923702,60,340,82.3235626713,85.8996713247,3,10,1,2,1,1,20260917,setup_sweep
200,100,18.1720050358,22.0368030844,1370,1640,62.4704490768,76.8610316992,3,10,1,2,1,1,20260917,setup_sweep
201,101,0.713296272912,3.9490359931,60,340,84.3663784835,88.3287844629,3,10,2,2,1,1,20260917,setup_sweep
202,101,18.508494113,22.4407711368,1370,1640,59.7501426606,76.8333937644,3,10,2,2,1,1,20260917,setup_sweep
203,102,0.749249316465,4.16680532718,60,340,80.4142612897,84.9089695475,3,10,3,2,3,1,20260917,setup_sweep
204,102,22.9959555128,27.2665025382,1370,1640,52.1484444579,73.4735922666,3,10,3,2,3,1,20260917,setup_sweep
205,103,0.733235792449,4.06684415766,60,340,82.0010876067,85.6063345081,3,11,1,2,1,1,20260917,setup_sweep
206,103,18.331555332,22.2258681441,1370,1640,61.6871424904,76.4777738816,3,11,1,2,1,1,20260917,setup_sweep
207,104,0.715692725685,3.96181052871,60,340,84.0822446794,88.0547788556,3,11,2,2,1,1,20260917,setup_sweep
208,104,18.7938265265,22.746632142,1370,1640,59.2300042696,76.5633856125,3,11,2,2,1,1,20260917,setup_sweep
209,105,0.768764225574,4.2449580097,60,340,78.5302805001,83.8591633609,3,11,3,2,3,1,20260917,setup_sweep
210,105,23.338067469,27.6208405996,1370,1640,51.8823225402,73.3162841712,3,11,3,2,3,1,20260917,setup_sweep
211,106,0.781033026487,4.33858228288,60,340,76.8909391303,80.0980091146,3,12,1,2,1,1,20260917,setup_sweep
212,106,19.0190120914,22.9678991425,1370,1640,62.0645582245,74.2447899321,3,12,1,2,1,1,20260917,setup_sweep
213,107,0.758818250062,4.24946786788,60,340,79.2041468175,82.6732077286,3,12,2,2,1,1,20260917,setup_sweep
214,107,19.2540676788,23.2639305535,1370,1640,59.2987894055,74.5063344604,3,12,2,2,1,1,20260917,setup_sweep
215,108,0.787786670357,3.2311842074,60,250,76.2916197866,78.983962443,3,12,3,2,3,1,20260917,setup_sweep
216,108,23.2183867564,27.5696506117,1370,1640,51.8041481951,71.2321053438,3,12,3,2,3,1,20260917,setup_sweep
217,109,1.25426520665,6.26181673047,100,510,79.9694563975,84.3737474397,2,1,1,1,1,1,20260917,tyre_comparison
218,109,28.165918888,33.8359124226,1650,2020,51.3839928271,75.9359120506,2,1,1,1,1,1,20260917,tyre_comparison
